state,label,url,file,ok,reason
Ogun,ogun west,https://www.inecnigeria.org/wp-content/uploads/2024/05/OGUN-WEST.pdf,Ogun_OGUN-WEST.pdf,True,
Ondo,ondo central,https://www.inecnigeria.org/wp-content/uploads/2024/05/ONDO-CENTRAL.pdf,Ondo_ONDO-CENTRAL.pdf,True,
Ondo,ondo north,https://www.inecnigeria.org/wp-content/uploads/2024/05/ONDO-NORTH.pdf,Ondo_ONDO-NORTH.pdf,True,
Ondo,ondo south,https://www.inecnigeria.org/wp-content/uploads/2024/05/ONDO-SOUTH.pdf,Ondo_ONDO-SOUTH.pdf,True,
Osun,osun central,https://www.inecnigeria.org/wp-content/uploads/2024/05/OSUN-CENTRAL.pdf,Osun_OSUN-CENTRAL.pdf,True,
Osun,osun east,https://www.inecnigeria.org/wp-content/uploads/2024/05/OSUN-EAST.pdf,Osun_OSUN-EAST.pdf,True,
Osun,osun west,https://www.inecnigeria.org/wp-content/uploads/2024/05/OSUN-WEST.pdf,Osun_OSUN-WEST.pdf,True,
Oyo,oyo central,https://www.inecnigeria.org/wp-content/uploads/2024/05/OYO-CENTRAL-1.pdf,Oyo_OYO-CENTRAL-1.pdf,True,
Oyo,oyo north,https://www.inecnigeria.org/wp-content/uploads/2024/05/OYO-NORTH-1.pdf,Oyo_OYO-NORTH-1.pdf,True,
Oyo,oyo south,https://www.inecnigeria.org/wp-content/uploads/2024/05/OYO-SOUTH-1.pdf,Oyo_OYO-SOUTH-1.pdf,True,
Plateau,plateau central,https://www.inecnigeria.org/wp-content/uploads/2024/05/PLATEAU-CENTRAL.pdf,Plateau_PLATEAU-CENTRAL.pdf,True,
Plateau,plateau north,https://www.inecnigeria.org/wp-content/uploads/2024/05/PLATEAU-NORTH.pdf,Plateau_PLATEAU-NORTH.pdf,True,
Plateau,plateau south,https://www.inecnigeria.org/wp-content/uploads/2024/05/PLATEAU-SOUTH.pdf,Plateau_PLATEAU-SOUTH.pdf,True,
Rivers,rivers east,https://www.inecnigeria.org/wp-content/uploads/2024/05/RIVERS-EAST.pdf,Rivers_RIVERS-EAST.pdf,True,
Rivers,rivers southeast,https://www.inecnigeria.org/wp-content/uploads/2024/05/RIVERS-SOUTHEAST.pdf,Rivers_RIVERS-SOUTHEAST.pdf,True,
Rivers,rivers west,https://www.inecnigeria.org/wp-content/uploads/2024/05/RIVERS-WEST.pdf,Rivers_RIVERS-WEST.pdf,True,
Sokoto,sokoto east,https://www.inecnigeria.org/wp-content/uploads/2024/05/SOKOTO-EAST.pdf,Sokoto_SOKOTO-EAST.pdf,True,
Sokoto,sokoto north,https://www.inecnigeria.org/wp-content/uploads/2024/05/SOKOTO-NORTH.pdf,Sokoto_SOKOTO-NORTH.pdf,True,
Sokoto,sokoto south,https://www.inecnigeria.org/wp-content/uploads/2024/05/SOKOTO-SOUTH.pdf,Sokoto_SOKOTO-SOUTH.pdf,True,
Taraba,taraba central,https://www.inecnigeria.org/wp-content/uploads/2024/05/TARABA-CENTRAL.pdf,Taraba_TARABA-CENTRAL.pdf,True,
Taraba,taraba north,https://www.inecnigeria.org/wp-content/uploads/2024/05/TARABA-NORTH.pdf,Taraba_TARABA-NORTH.pdf,True,
Taraba,taraba south,https://www.inecnigeria.org/wp-content/uploads/2024/05/TARABA-SOUTH.pdf,Taraba_TARABA-SOUTH.pdf,True,
Yobe,yobe east,https://www.inecnigeria.org/wp-content/uploads/2024/05/YOBE-EAST.pdf,Yobe_YOBE-EAST.pdf,True,
Yobe,yobe north,https://www.inecnigeria.org/wp-content/uploads/2024/05/YOBE-NORTH.pdf,Yobe_YOBE-NORTH.pdf,True,
Yobe,yobe south,https://www.inecnigeria.org/wp-content/uploads/2024/05/YOBE-SOUTH.pdf,Yobe_YOBE-SOUTH.pdf,True,
Zamfara,zamfara central,https://www.inecnigeria.org/wp-content/uploads/2024/05/ZAMFARA-CENTRAL-1.pdf,Zamfara_ZAMFARA-CENTRAL-1.pdf,True,
Zamfara,zamfara north,https://www.inecnigeria.org/wp-content/uploads/2024/05/ZAMFARA-NORTH-1.pdf,Zamfara_ZAMFARA-NORTH-1.pdf,True,
Zamfara,zamfara west,https://www.inecnigeria.org/wp-content/uploads/2024/05/ZAMFARA-WEST-1.pdf,Zamfara_ZAMFARA-WEST-1.pdf,True,
