state,candidate,party,votes,percent,source
Imo,Hope Odidika Uzodinma,All Progressives Congress (APC),96458.0,13.51,results_table
Imo,Ikedi Godson Ohakim,Accord (A),6846.0,0.96,results_table
Imo,Humphrey Anumudu,Zenith Labour Party (ZLP),3999.0,0.56,results_table
Imo,Nwosu Brady Chijioke,Advanced Peoples Democratic Alliance (APDA),2491.0,0.35,results_table
Imo,Okechukwu Theodore Ezeh,Social Democratic Party (SDP),2253.0,0.32,results_table
Imo,Nnaemeka Lawrence Nwankwo,Progressive Peoples Alliance (PPA),1979.0,0.28,results_table
Imo,Ukaegbu Joseph Ikechukwu,Labour Party (LP),1658.0,0.23,results_table
Imo,Aguocha Chidiebere,Advanced Allied Party (AAP),1657.0,0.23,results_table
Imo,Omeogu-Ogbuta Chidiebere,African Action Congress (AAC),1628.0,0.23,results_table
Imo,Nwulu-Onyeulo Anthony Chinedu,United Progressive Party (UPP),1466.0,0.21,results_table
Imo,Okonya Edward Chukwuka,All Grand Alliance Party (AGAP),1345.0,0.19,results_table
Imo,Agwu Justin Ifeanyi,People for Democratic Change (PDC),1064.0,0.15,results_table
Imo,Ekwerike Alphonsus I. N.,Abundant Nigeria Renewal Party (ANRP),981.0,0.14,results_table
Imo,Nwadigo Chris C.,People's Party of Nigeria (PPN),919.0,0.13,results_table
Imo,Ibe Kyrian Uchenna,Democratic People's Congress (DPC),798.0,0.11,results_table
Imo,Daniel Nwabueze Osuegbu,Peoples Coalition Party (PCP),762.0,0.11,results_table
Imo,Chukwu Ejike Lucky,African Democratic Congress (ADC),738.0,0.1,results_table
Imo,Edoziem Clinton Chibuike,Allied Peoples Movement (APM),688.0,0.1,results_table
Imo,Anuchauka Godswill Ikemefula,National Rescue Movement (NRM),673.0,0.09,results_table
Imo,Osuji Aloysius Osondu,Mass Action Joint Alliance (MAJA),570.0,0.08,results_table
Imo,Okorie Linus Chinedu,Young Progressive Party (YPP),527.0,0.07,results_table
Imo,Obioma Success Akagburuonye,Action Democratic Party (ADP),413.0,0.06,results_table
Imo,Ofoegbu Godwin Chidi,Privodence People's Congress (PPC),335.0,0.05,results_table
Imo,Olehi Ngozi Chido,All Grassroots Alliance (AGA),318.0,0.04,results_table
Imo,Ibe Mercy Adaku,Democratic People's Party (DPP),271.0,0.04,results_table
Imo,Francis Beluchukwu,National Unity Party (NUP),269.0,0.04,results_table
Imo,Francis Chike Ugorji,Restoration Party of Nigeria (RP),255.0,0.04,results_table
Imo,Oparaocha Bruno Chidiebere,Action People's Party (APP),244.0,0.03,results_table
Imo,Tony Onyerugbulem,Freedom and Justice Party (FJP),243.0,0.03,results_table
Imo,Stephen N. Ohiri,Allied Congress Party of Nigeria (ACPN),242.0,0.03,results_table
Imo,Uwakwe Elvis,National Conscience Party (NCP),221.0,0.03,results_table
Imo,Friday Odinaka Emereonwu,Advanced Congress of Democrats (ACD),204.0,0.03,results_table
Imo,Nwaiwu Henry Chinemere,United Patriots (UP),190.0,0.03,results_table
